"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"804429949251661824","","","2016-12-01 21:00:20 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Gamification with Unity 5.x #PacktPublishing https://t.co/CB6pTIWyNE #GameDevelopment","","","","https://www.safaribooksonline.com/library/view/gamification-with-unity/9781786463487/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429935238492160","","","2016-12-01 21:00:16 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","High-Performance Computing and Concurrency #InfiniteSkills https://t.co/QBBJLMBJzw #C++","","","","https://www.safaribooksonline.com/library/view/high-performance-computing-and/9781491967560/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429921388924928","","","2016-12-01 21:00:13 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","CEH Certified Ethical Hacker Practice Exams, Third Edition, 3rd Edition #McGrawHill https://t.co/4csdpNs2Er #Security","","","","https://www.safaribooksonline.com/library/view/ceh-certified-ethical/9781259836596/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429907216322560","","","2016-12-01 21:00:10 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Elastic Leadership: Growing self-organizing teams #ManningPublications https://t.co/WXZgeYiWr2 #LeadingTeams","","","","https://www.safaribooksonline.com/library/view/elastic-leadership-growing/9781617293085/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804429893056401408","","","2016-12-01 21:00:06 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Leading the Malcolm Baldrige Way: How World-Class Leaders Align Their Organizations to ... #McGrawHill https://t.co/hq2nVmY4sa #LeadingTeams","","","","https://www.safaribooksonline.com/library/view/leading-the-malcolm/9781259588679/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067779460501504","","","2016-11-30 21:01:12 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Mastering Flask #PacktPublishing https://t.co/Ml5MEzXug7 #Python","","","","https://www.safaribooksonline.com/library/view/mastering-flask/9781784393915/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067765774479361","","","2016-11-30 21:01:08 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","How to Pay Zero Taxes, 2017: Your Guide to Every Tax Break the IRS Allows, 34th  ... #McGrawHill https://t.co/Z9qFLRiuLY #Finance #Economics","","","","https://www.safaribooksonline.com/library/view/how-to-pay/9781259859090/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067751383875584","","","2016-11-30 21:01:05 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Oracle Solaris 11 System Virtualization Essentials, Second Edition #PrenticeHall https://t.co/5XT2bcOKAF #Oracle","","","","https://www.safaribooksonline.com/library/view/oracle-solaris-11/9780134309828/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067733939728384","","","2016-11-30 21:01:01 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","The Communication Clinic: 99 Proven Cures for the Most Common Business Mistakes #McGrawHill https://t.co/XH8q1ljOkD #ManagementCommunication","","","","https://www.safaribooksonline.com/library/view/the-communication-clinic/9781259644856/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067719725203456","","","2016-11-30 21:00:57 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Blender 3D: Characters, Machines, and Scenes for Artists #PacktPublishing https://t.co/uA3RknzuNq #Animation","","","","https://www.safaribooksonline.com/library/view/blender-3d-characters/9781787129665/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067705770807296","","","2016-11-30 21:00:54 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","MOS 2016 Study Guide for Microsoft Word Expert #MicrosoftPress https://t.co/tUXX85NQp5 #MicrosoftWord","","","","https://www.safaribooksonline.com/library/view/mos-2016-study/9781509300167/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067691954769920","","","2016-11-30 21:00:51 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","International Journal of Software Science and Computational Intelligence (IJSSCI ... #IGIGlobal https://t.co/mcdPoGc4LQ #SoftwareDevelopment","","","","https://www.safaribooksonline.com/library/view/international-journal-of/9781466690707/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067677631369219","","","2016-11-30 21:00:47 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Designing for Cisco Network Service Architectures (ARCH) Foundation Learning Guide: CCDP ARCH ... #CiscoPress https://t.co/vcbYtM4k8b #Cisco","","","","https://www.safaribooksonline.com/library/view/designing-for-cisco/9780134426020/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067663659945984","","","2016-11-30 21:00:44 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Multi-Dimensional Summarization in Cyber-Physical Society #Elsevier https://t.co/VjbdbydkRA #Math #Science","","","","https://www.safaribooksonline.com/library/view/multi-dimensional-summarization-in/9780128034644/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067649961373696","","","2016-11-30 21:00:41 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Learning Path: Python Web Penetration Testing #PacktPublishing https://t.co/va3ETP5I3d #Python","","","","https://www.safaribooksonline.com/library/view/learning-path-python/9781787287129/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067635906260992","","","2016-11-30 21:00:37 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","AI for Business #OReillyMedia https://t.co/8eghyMxFoL #GameDevelopment","","","","https://www.safaribooksonline.com/library/view/ai-for-business/9781491978962/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067622031527936","","","2016-11-30 21:00:34 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Lower Your Taxes - BIG TIME! 2017-2018 Edition: Wealth Building, Tax Reduction S ... #McGrawHill https://t.co/S8dTJHMlhF #Finance #Economics","","","","https://www.safaribooksonline.com/library/view/lower-your-taxes/9781259859939/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067608223850496","","","2016-11-30 21:00:31 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","MOS 2016 Study Guide for Microsoft Outlook #MicrosoftPress https://t.co/cLbED9RWai #Office","","","","https://www.safaribooksonline.com/library/view/mos-2016-study/9781509300303/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067593963216896","","","2016-11-30 21:00:27 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","David Busch's Nikon D3400 Guide to Digital SLR Photography #RockyNook https://t.co/jWP9DOPXrA #Photography","","","","https://www.safaribooksonline.com/library/view/david-buschs-nikon/9781457189777/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067580285566976","","","2016-11-30 21:00:24 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","International Journal of Cognitive Informatics and Natural Intelligence (IJCINI) Volume  ... #IGIGlobal https://t.co/nL1lIfrBKE #Engineering","","","","https://www.safaribooksonline.com/library/view/international-journal-of/9781466689664/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067566394056705","","","2016-11-30 21:00:21 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Building Voice-Enabled Apps with Alexa #BleedingEdgePress https://t.co/f0jmJTYnQz #Node.js","","","","https://www.safaribooksonline.com/library/view/building-voice-enabled-apps/9781939902474/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067552578023424","","","2016-11-30 21:00:18 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Troubleshooting BGP #CiscoPress https://t.co/MN4fJQVYuc #Cisco","","","","https://www.safaribooksonline.com/library/view/troubleshooting-bgp/9780134436555/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
"804067538673881088","","","2016-11-30 21:00:14 +0000","<a href=""http://bobbelderbos.com"" rel=""nofollow"">safaribot</a>","Practical Scala for Java Developers #OReillyMedia https://t.co/aZDHzVL06U #Scala","","","","https://www.safaribooksonline.com/library/view/practical-scala-for/9781491969472/?utm_source=twitter.com&utm_medium=social&utm_campaign=newsafaribooks"
